Compound,TB(K),Ref.,YBP,TFP(K)Ref.,NFP,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,NFP(eq6),TFP(eq4),AD,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9
N-butylacetamide,502,N,37.33,388,A,42.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43.36,391,3,,,,,,,,,,
"N,N-diisopropylformamide",469,A,32.68,348,A,35.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36.41,355,7,,,,,,,,,,
acetonitrile,355,N,20.08,275,A,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.63,269,6,,,,,,,,,,
propionitrile,370,N,21.47,279,A,23.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.99,278,1,,,,,,,,,,
butyronitrile,391,N,23.54,291,A,25.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,290,1,,,,,,,,,,
pentanenitrile,414,N,25.98,305,G,27.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27.39,305,0,,,,,,,,,,
hexanenitrile,438,L,28.75,320,A,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.08,320,0,,,,,,,,,,
heptanenitrile,460,F,31.5,331,A,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.75,335,4,,,,,,,,,,
octanenitrile,477,A,33.76,347,S,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.96,347,0,,,,,,,,,,
nonanenitrile,497,S,36.59,355,S,36.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.72,362,7,,,,,,,,,,
decanenitrile,517,N,39.62,365,A,38.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40.67,377,12,,,,,,,,,,
"2,2-dimethylpropanenitrile",379,A,22.34,277,A,22.87,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.83,283,6,,,,,,,,,,
isobutyronitrile,377,F,22.14,281,A,23.51,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.64,282,1,,,,,,,,,
cyclopropanecarbonitrile,408,N,25.33,305,A,27.46,,0,,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.75,301,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-methylbutanenitrile,402,A,24.68,301,A,26.79,1,26.12,297,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,4-dicyanobutane",569,L,48.5,432,I,51.97,2,51.29,429,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-propanethiol,341,N,18.85,259,A,20.09,0,1,20,257,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-butanethiol,371,N,21.56,275,F,22.56,0,1,22,274,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-pentanethiol,399,N,24.37,291,A,25.13,0,1,25,291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-hexanethiol,425,N,27.23,303,B,27.13,0,1,28,308,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-heptanethiol,449,N,30.1,319,A,29.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.73,324,5,,,,,,,,,,
