No,Compond Name,CAS NO.,Status,Observed,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2
126,Tetrakisdimethylsiloxysilane,17082-47-2,Training,340.15,329.11,0,7.67,0.06,507.13,0,14.27
127,p-Tolydimethylchlorosilane,35239-30-6,Training,340.15,343.71,0,5,0.02,108.88,0,-1.72
128,p-Chlorophenyltrimethylsilane,10557-71-8,Training,322.15,345.3,0,5,0.03,115.84,0,-2.49
129,Phenyltrimethoxysilane,2996-92-1,Training,358.15,341.02,0,6.29,0.04,220.36,0,6.42
130,Trimethylphenylsilane,768-32-1,Training,313.15,316.66,0,4.61,0.02,93.95,0,3.34
131,Cyclohexylmethyldimethoxysilane,17865-32-6,Training,343.15,331.73,0,5.73,0.03,202.89,0,5.32
132,Hexyltrimethoxysilane,3069-19-0,Training,335.15,338.19,0,6.24,0.04,278.12,0,5.91
133,Triisopropylsilane,6459-79-6,Training,310.15,307.86,0,4.46,0.03,125.85,0,4.1
134,Tri-n-propylsilane,998-29-8,Training,316.15,313.97,0,4.85,0.03,143,0,5.03
135, Tris(trimethylsioxy) boron,4325-85-3,Training,315.15,341.67,0,6.79,0.06,349.45,0,10.34
136,Propyltris(dimethylsiloxy)silane,172080-99-8,Training,323.15,341.68,0,7.31,0.05,399.95,0,10.46
137,Benzyltrimethylsilane,770-09-2,Training,335.15,326.47,0,5.08,0.02,110.52,0,4.04
138,3-Methacryloxypropyltrimethoxysilane,2530-85-0,Training,365.15,365.49,0,7.51,0.08,402.33,0,4.04
139,1-Heptynyltrimethylsilane,15719-56-9,Training,315.15,318.91,0,5.06,0.02,143.88,0,5.74
140,"1,4-Divinyltetramethyldisilylethane",84677-98-5,Training,313.15,325.55,0,5.33,0.02,179.67,0,5.02
141,n-Octyldimethylchlorosilane,18162-84-0,Training,370.15,347.93,0,5.56,0.02,187.67,0,0.04
142,Bis(diethylamino)dimethylsilane,4669-59-4,Training,308.15,336.45,0,6.04,0.02,220.07,0,6.34
143,Decamethyltetrasiloxane,141-62-8,Training,335.15,332.43,0,7.12,0.03,413.25,0,11.97
144,Decamethylcyclopentasiloxane,541-02-6,Training,350.15,356.85,0,8.54,0.03,485.8,0,14.18
145,"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",4/3/3388,Training,419.15,381,0,7.73,0.04,366.02,0,2.93
146,n-Decylmethyldichlorosilane,18051-88-2,Training,393.15,383.59,0,6.56,0.03,217.51,0,-3.51
147,Vinyltriethylsilane,1112-54-5,Training,318.15,304.46,0,4.24,0.02,102.81,0,3.68
148,Diphenyldichlorosilane,1980-40-4,Training,415.15,413.59,0,7.21,0.03,124.77,0,-5.52
149,Phenyltriethoxysilane,780-69-8,Training,393.15,371.86,0,7.79,0.04,301.74,0,7.46
150,Diphenylsilane,775-12-2,Training,371.15,367.37,0,6.45,0.03,113.48,0,2.44
151,"2,4,6,8-Tetravinyl-2,4,6,8-tetramethylcyclotetrasiloxane",27342-69-4,Training,385.15,390.25,0,9.07,0.03,402.67,0,10.03
152,n-Dodecyltrichlorosilane,4484-72-4,Training,435.15,406.15,0,7.56,0.05,284.53,0,-4.36
153,Tetra-n-propoxysilane,682-01-9,Training,368.15,369.52,0,8.24,0.06,412.54,0,8.88
154,Hexaethyldisiloxane,994-49-0,Training,349.15,359.31,0,7.07,0.02,268.06,0,6.73
155,Dodecamethylpentasiloxane,141-63-9,Training,352.15,365.87,0,8.83,0.03,536.04,0,12.76
156,Dodecamethylcyclohexasiloxane,540-97-6,Training,366.15,380.18,0,10.24,0.03,677.81,0,16.51
157,Methyldiphenylchlorosilane,144-79-6,Training,411.15,399.97,0,7.21,0.02,132.64,0,-1.57
158,n-Dodecylmethyldichlorosilane,18407-07-3,Training,416.15,401.32,0,7.56,0.03,271.06,0,-2.1
159,Diphenyldimethoxysilane,6843-66-9,Training,394.15,397.14,0,8.33,0.03,229.79,0,5.76
160,Octyltriethoxysilane,2943-75-1,Training,373.15,383.93,0,8.74,0.04,437.51,0,8.59
161,Tetradecamethylhexasiloxane,107-52-8,Training,375.15,386.64,0,10.54,0.03,736.38,0,15.63
162,Hexadecamethylheptasiloxane,541-0-1,Training,406.15,411.69,0,12.24,0.03,938.33,0,17.19
163,n-Octadecyltrichlorosilane,112-04-9,Training,466.15,463.64,0,10.56,0.28,651.69,0,-11.36
164,Octadecamethyloctasiloxane,556-69-4,Training,417.15,407.69,0,13.95,0.22,1929.96,0,5.84
165,Vinyltris(methoxyethoxy)silane,1067-53-4,Training,353.15,363.6,0,8.74,0.26,701.25,0,3.43
166,Trimethyl(vinyloxy)silane,6213-94-1,Training,263.15,270.13,0,3.06,0.19,117.98,0,-0.4
167,"Dichloromethyl(2-tricyclo[3.3.1.1(3,7)-]dec-1-ylethyl) silane",37843-12-2,Training,408.15,405.76,0,7.74,0.17,304.34,0,-6.25
168,Trichloro(3-cyanopropyl) Silane,1071-27-8,Training,365.15,358.37,0,4.06,0.28,162.39,0,-20.9
169,Trichloro(2-phenylethyl)silane,940-41-0,Training,364.15,387.5,0,5.58,0.28,205.9,0,-18.32
170,"Chlorodimethyl(3,3,3-trifluoropropyl) silane",1481-41-0,Training,293.15,298.62,0.15,4.21,0.2,208.67,0,-19.65
171,Vinylmethylbis (trimethylsiloxy) silane,5356-85-4,Training,324.15,319.23,0,5.97,0.21,412.4,0,2.29
172,Trichloro(Chloromethyl) silane,1558-25-4,Training,342.15,320.65,0,2.56,0.29,119.37,0,-22.75
173,Dimethyl(pentafluorophenyl) silane,13888-77-2,Training,313.15,314.38,0.24,6.37,0.17,306.47,0,-19.94
174,Trichloro(p-chlorophenyl)silane,825-94-5,Training,397.05,392.04,0,5,0.28,171.95,0,-23.74
175,Trisilane,7783-26-8,Training,273.15,229.54,0,1.41,0.11,96.04,0.01,-1.31
176,Trichlorononylsilane,5283-67-0,Training,387.15,383.24,0,6.06,0.28,299.43,0,-15.09
177,Dichloroethylsilane,1789-58-8,Training,263.75,288.33,0,2.27,0.23,92.24,0.01,-14.65
178,Trichloro(dichlorophenyl)silane,27137-85-5,Training,419.15,415.79,0,5.41,0.28,211.22,0,-28.42
179,Tris(trimethylsilyl)silane,1873-77-4,Training,328.15,335.09,0,5.37,0.14,274.22,0,-2.47
180,Tris(trimethylsiloxy)silane,1873-89-8,Training,323.15,307.88,0,5.37,0.03,336.3,0,7.1
181,Hexadecyltrichlorosilane,5894-60-0,Training,427.15,447.1,0,9.56,0.28,558.53,0,-12.25
182,Flusilazol,85509-19-9,Training,464.15,463.62,0.05,10.58,0.18,410.23,0,-10.5
183,Dichlorosilane,4109-96-0,Training,236.15,233.5,0,1.41,0.07,34.74,0.02,-7.62
184,Methyidichlorosilane,20156-50-7,Training,241.15,258.93,0,1.73,0.07,41.54,0.01,-7.32
185,Dimethyldichlorosilane,75-78-5,Test,257.15,274.55,0,2,0.03,48.02,0.01,-6.5
186,Bromomethyldimethylchlorosilane,16532-02-8,Test,314.15,296.28,0,2.56,0.04,70.73,0,-6.79
187,Trimethylsilane,993-07-7,Test,204.15,213.09,0,1.73,0.02,42.66,0.01,3.51
188,Dimethylvinylchlorosilane,1719-58-0,Test,268.15,280.28,0,2.56,0.03,58.87,0,-3.05
189,"1,3-Dichlorotetramethyldisiloxane",2401-73-2,Test,288.15,313.66,0,3.71,0.03,136.15,0,-3.6
190,"1,1,3,3-Tetramethyldisiloxane",3277-26-7,Test,251.15,261.94,0,3.13,0.04,119.52,0,6.69
191,Tetramethyldisilazane,15933-59-2,Test,284.15,263.55,0,3.13,0.05,118.72,0,6.02
192,Allyl Dimethylchlorosilane,4028-23-3,Test,278.15,296.16,0,3.06,0.02,74.49,0,-2.84
193,sec-Amyltrichlorosilane,,Test,303.15,332.06,0,3.92,0.05,103.85,0,-7.38
194,n-Butylmethyldichlorosilane,18147-23-4,Test,303.15,320.6,0,3.56,0.03,89.48,0,-6.15
195,Bis(dimethylamino)methylsilane,22705-33-5,Test,270.15,271.56,0,3.55,0.04,128.15,0,6.91
196,Phenyltrichlorosilane,98-13-5,Test,364.15,351.49,0,4.61,0.06,77.87,0,-7.65
197,Phenyl trifluorosilane,368-47-8,Test,268.15,255.91,0.2,4.61,0.12,102.3,0,-6.71
198,Dimethyldiacetoxysilane,4774-73-6,Test,310.15,318.38,0,4.83,0.08,197.83,0,1.07
199,1-Trimethylsilylpropyne,6224-91-5,Test,270.15,274.91,0,3.06,0.02,67.68,0,3.71
200,Vinyldimethylethoxysilane,5356-83-2,Test,277.15,283.89,0,3.62,0.03,109.71,0,4.24
