No.,Compounds Name,Observed,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv
143,Benzyltrimethylsilane,335,339.13 ,Training,0,2.235,0.878,15.368,6.012
144,3-Methacryloxypropyltrimethoxysilane,365,369.30 ,Training,0,2.66,0.905,16.037,5.445
145,"1,4-Divinyltetramethyldisilylethane",313,334.14 ,Training,0,2.138,0.854,18.204,6.326
146,n-Octyldimethylchlorosilane,370,353.42 ,Training,0,2.4,0.878,21.374,5.246
147,Bis(diethylamino)dimethylsilane,308,320.84 ,Training,0,2.185,0.851,4.188,7.677
148,Decamethyltetrasiloxane,335,351.80 ,Training,0,2.487,0.861,8.105,7.809
149,Decamethylcyclopentasiloxane,350,343.77 ,Training,0,2.648,0.875,-8.998,9.061
150,"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419,395.60 ,Training,0,2.869,0.892,19.118,6.598
151,n-Decylmethyldichlorosilane,393,387.16 ,Training,0,2.689,0.904,23.508,5.537
152,Vinyltriethylsilane,318,294.71 ,Training,0,1.816,0.848,12.747,5.669
153,Phenyltriethoxysilane,393,372.81 ,Training,0,2.669,0.9,9.548,7.191
154,Diphenylsilane,371,375.59 ,Training,0,2.692,0.911,16.987,5.476
155,Tetramethyltetravinylcyclotetrasilane,385,366.78 ,Training,0,2.7,0.892,-1.215,8.85
156,n-Dodecyltrichlorosilane,435,417.54 ,Training,0,2.966,0.922,26.123,5.747
157,Hexaethyldisiloxane,349,345.21 ,Training,0,2.352,0.849,10.013,7.968
158,Dodecamethylpentasiloxane,352,369.48 ,Training,0,2.822,0.863,4.16,8.315
159,Dodecamethylcyclohexasiloxane,366,362.73 ,Training,0,2.929,0.875,-12.899,10.056
160,Methyldiphenylchlorosilane,411,402.38 ,Training,0,2.691,0.934,15.499,7.574
161,n-Dodecylmethyldichlorosilane,416,410.51 ,Training,0,2.966,0.898,27.562,5.591
162,Diphenyldimethoxysilane,394,399.41 ,Training,0,2.813,0.917,14.28,7.408
163,Octyltriethoxysilane,373,385.67 ,Training,0,2.976,0.869,17.846,6.062
164,Tetradecamethylhexasiloxane,375,385.63 ,Training,0,3.14,0.865,1.239,8.568
165,n-Octadecyltrichlorosilane,466,475.85 ,Training,0,3.748,0.908,33.812,5.821
166,Octadecamethyloctasiloxane,417,416.12 ,Training,0,3.74,0.868,-3.725,8.962
167,Vinyltrichlorosilane,294,296.96 ,Test,0,1.43,0.993,7.988,4.168
