id,compound,smiles,flashPoint
molid142,Phenyltriethoxysilane,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,119.85000000000002
molid143,Diphenylsilane,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,97.85000000000002
molid144,Tetramethyltetravinylcyclotetrasilane,C[Si]1([Si]([Si]([Si]1(C=C)C)(C=C)C)(C=C)C)C=C,111.85000000000002
molid145,n-Dodecyltrichlorosilane,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,161.85000000000005
molid146,Hexaethyldisiloxane,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,75.85000000000002
molid147,Dodecamethylpentasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,78.85000000000002
molid148,Dodecamethylcyclohexasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,92.85000000000002
molid149,Methyldiphenylchlorosilane,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,137.85000000000002
molid150,n-Dodecylmethyldichlorosilane,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,142.85000000000005
molid152,Octyltriethoxysilane,C(CCCCCCC)[Si](OCC)(OCC)OCC,99.85000000000002
molid153,Tetradecamethylhexasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,101.85000000000002
molid154,n-Octadecyltrichlorosilane,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,192.85
molid155,Octadecamethyloctasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,143.85000000000005
molid156,Vinyltrichlorosilane,C(=C)[Si](Cl)(Cl)Cl,20.850000000000023
molid157,Ethylsilane,C(C)[SiH3],-60.149999999999984
molid158,n-Propyltrichlorosilane,C(CC)[Si](Cl)(Cl)Cl,36.85000000000002
molid160,Dimethylvinylchlorosilane,CC(=C[SiH2]Cl)C,-5.149999999999976
molid161,Trimethylsilylisothiocyanate,C[Si](C)(C)N=C=S,34.850000000000016
molid162,Methoxytrimethylsilane,CO[Si](C)(C)C,-30.149999999999977
molid163,Diethylsilane,C(C)[SiH2]CC,-20.149999999999977
molid164,Tetraisocyanatosilane,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,49.850000000000016
molid165,sec-Amyltrichlorosilane,C(C)(CCC)[Si](Cl)(Cl)Cl,29.850000000000023
molid167,Ethoxytrimethylsilane,C(C)O[Si](C)(C)C,-27.149999999999977
molid168,Phenyltrichlorosilane,C1(=CC=CC=C1)[Si](Cl)(Cl)Cl,90.85000000000002
molid169,Cyclohexyltrichlorosilane,C1(CCCCC1)[Si](Cl)(Cl)Cl,84.85000000000002
molid170,1-Trimethylsilylpropyne,C[Si](C#CC)(C)C,-3.1499999999999773
molid171,Hexyldichlorosilane,C(CCCCC)[SiH](Cl)Cl,63.850000000000016
molid173,3-Chloropropylmethyldimethoxysilane,ClCCC[Si](OC)(OC)C,44.850000000000016
molid174,n-Propyltrimethoxysilane,C(CC)[Si](OC)(OC)OC,24.850000000000023
molid175,Hexamethyldisiloxane,C[Si](O[Si](C)(C)C)(C)C,-3.1499999999999773
molid176,Hexamethyldisilazane,C[Si](N[Si](C)(C)C)(C)C,7.850000000000023
molid177,Methyltriacetoxysilane,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,84.85000000000002
molid178,n-Heptyltrichlorosilane,C(CCCCCC)[Si](Cl)(Cl)Cl,63.850000000000016
molid179,(1-Methoxy-2-propoxy)trimethylsilane,COCC(C)O[Si](C)(C)C,19.850000000000023
molid180,Heptamethyldisilazane,C[Si](N([Si](C)(C)C)C)(C)C,26.850000000000023
molid181,Vinyltriacetoxysilane,C(=C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,87.85000000000002
molid182,(Cyclopentenyloxy)trimethylsilane,C1(=CCCC1)O[Si](C)(C)C,37.85000000000002
molid183,Tetramethyldivinyldisiloxane,C[Si](O[Si](C=C)(C=C)C)(C)C,18.850000000000023
molid185,Tetramethyldiethoxysiloxane,CC(C(O[Si]([O])OCC)(C)C)C,37.85000000000002
molid186,Tri-n-propylchlorosilane,C(CC)[Si](Cl)(CCC)CCC,75.85000000000002
molid189,Tristrimethylsiloxymethylsilane,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,62.850000000000016
molid190,Diphenyldichlorosilane,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,141.85000000000005
molid191,Tetra-n-propoxysilane,C(CC)O[Si](OCCC)(OCCC)OCCC,94.85000000000002
molid192,Diphenylmethylsilane,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],119.85000000000002
molid193,Hexadecamethylheptasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,132.85000000000002
