id,compound,smiles,flashPoint
molid185,Isobutyltrimethoxysilane,C(C(C)C)[Si](OC)(OC)OC,42.0
molid186,Phenyldimethylchlorosilane,C1(=CC=CC=C1)[Si](Cl)(C)C,61.0
molid189,Ethyltriacetoxysilane,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,104.0
molid190,3-(Trimethylsilyl)cyclopentene,C[Si](C1C=CCC1)(C)C,26.0
molid191,Vinyltriethylsilane,C(=C)[Si](CC)(CC)CC,25.0
molid192,n-Octylsilane,C(CCCCCCC)[SiH3],36.0
molid193,Methyl phenyldimethoxysilane,C[Si](OC)(OC)C1=CC=CC=C1,76.0
molid194,2-Cyanoethyltriethoxysilane,C(#N)CC[Si](OCC)(OCC)OCC,86.0
molid195,3-Glycidoxypropyltrimethoxysilane,C(C1CO1)OCCC[Si](OC)(OC)OC,110.0
molid196,Di-t-butylmethylchlorosilane,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,69.0
molid198,(Diisopropylamino)trimethylsilane,C(C)(C)N(C(C)C)[Si](C)(C)C,28.0
molid199,1-Chlorononamethyltetrasiloxane,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,74.0
molid200,Tristrimethylsiloxymethylsilane,C[Si](OC(O[Si](C)(C)C)(O[Si](C)(C)C)[SiH3])(C)C,63.0
molid201,Diphenylmethylsilane,C1(=CC=CC=C1)C(C1=CC=CC=C1)[SiH3],120.0
molid202,Trimethyl[(1-methylethenyl)oxy]silane,C[Si](OC(=C)C)(C)C,-1.0
molid203,"Dichloromethyl-3,3,3-trifluoropropylsilane",ClC(Cl)[SiH2]CCC(F)(F)F,15.0
molid204,[2-(chloromethoxy)ethyl]trimethylsilane,ClCOCC[Si](C)(C)C,46.0
molid205,Iodotrimethylsilane,I[Si](C)(C)C,15.0
molid206,Triphenylsilane,C1(=CC=CC=C1)[SiH](C1=CC=CC=C1)C1=CC=CC=C1,143.20000000000005
molid207,[3-(mercapto)propyl]triethoxysilane,SCCC[Si](OCC)(OCC)OCC,87.78000000000004
molid208,Hexadecamethylheptasiloxane,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,133.0
molid209,Gamma-aminopropylethoxysilane,NCCC[SiH2]OCC,96.11
molid211,Dimethylchlorosilane,C[SiH](Cl)C,-27.999999999999968
